ISIN;Название;Эффективная доходность (YTM), %;Кредитное качество (рэнкинг);Кредитное качество (число, max=10);Коэф. Ликвидности (max=100);Лет до даты;Цена, % от номинала;Событие в дату;Текущий номинал;НКД;Размер купона;Текущий купон, %;Купон (раз/год);Тип купона;Тип эмитента;Текущая цена + НКД;чистая прибыль;ROI (всего)
RU000A10CC99;МБЭС 2P-04;17; AA;9;53,1;2,8;97,36;право продать (put);1000;5,22;12,04;14,65;12;фиксированный;корпоративные;978,82;418,5;0,427555628
RU000A10AYU6; МаниМенБО1;22,4; B+;4;39,7;2,3;111,1;погашение;1000;2,18;21,78;26,5;12;фиксированный;корпоративные;1113,18;474,88;0,426597675
RU000A10B081;ЭконЛиз1Р8;23,6; B+;4;38,7;2,3;110,26;погашение;1000;18,49;22,19;27;12;фиксированный;корпоративные;1121,09;478,04;0,426406444
RU000A107RW7;СберИОС603;0; AA;9;18,2;3,4;70,2;погашение;1000;0;0,01;0,01;12;фиксированный;корпоративные;702;298,4;0,425071225
RU000A10AQD8;БЭЛТИ БОП7;23,2; B;3;28,9;2,2;103,82;погашение;900,1;1,23;18,5;25;12;фиксированный;корпоративные;1039,43;441,57;0,424819372
RU000A107U65; ВЭББНКР 05;27,6; B;3;32,9;1,8;91,4;погашение;1000;5,92;14,79;16;12;изменяемый;корпоративные;919,92;390,67;0,424678233
RU000A10A026;АРЕНЗА1Р06;22,3; B+;4;27,4;2,1;100,49;погашение;1000;7,96;17,62;24,75;12;плавающий;корпоративные;1012,86;427,64;0,422210375
RU000A108FG3;AGROFRGT01;38,4; CCC;2;40,4;1,6;89,5;погашение;1000;45;56,1;22,5;4;фиксированный;корпоративные;940;396,6;0,421914894
RU000A1095L7;СамолетP14;28,9; BBB;7;57,5;1,7;91,8;погашение;1000;14,07;16,23;20,75;12;плавающий;корпоративные;932,07;392,53;0,421137897
RU000A109221;МИРРИКО1P1;29,6; B+;4;35,6;1,7;92,23;погашение;1000;2,88;52,36;25;4;плавающий;корпоративные;925,18;388,98;0,420437104
RU000A10CQE2;ВТБЛИЗ 1Р3;17,2; A;8;50,6;2,8;99,43;погашение;1000;5,95;12,74;15,5;12;фиксированный;корпоративные;1000,25;420,17;0,420064984
RU000A10A216; ВТБС1-1348;0; AA;9;9,6;2,3;70,42;погашение;1000;0;0,3;0,01;0;фиксированный;корпоративные;704,2;295,8;0,420051122
RU000A10CLX3;УралСт1Р05;21,5; BBB;7;62,9;2,3;97,95;погашение;1000;14,19;15,21;18,5;12;фиксированный;корпоративные;993,69;416,98;0,419627852
RU000A10B2P6;АйДиКол1P1;22,6; B+;4;48,3;2,3;110;погашение;1000;11,4;21,37;26;12;фиксированный;корпоративные;1111,4;465,59;0,41892208
RU000A109KW8;НКНХ 1Р-03;20,1; AA;9;39,3;2,4;99,49;право продать (put);1000;5,48;14,96;21,2;12;плавающий;корпоративные;1000,38;418,5;0,41834103
RU000A10BBE6;Новотр 1Р6;16,8; A;8;45,7;2,9;106,57;погашение;1000;9,25;15,41;18,75;12;фиксированный;корпоративные;1074,95;448,99;0,417684543
RU000A0ZZGT5;РЖД 1Р-08R;18,6; AA;9;33;2,8;92,86;погашение;1000;31,74;72,2;6,1;2;плавающий;корпоративные;960,34;400,66;0,417206406
RU000A10CSQ2;НоваБев3Р1;16; A;8;48,8;2,9;99;погашение;1000;1,59;11,92;14,5;12;фиксированный;корпоративные;991,59;413,69;0,417198641
RU000A10BTJ7;Ульоб34010;17,7; B+;4;49,5;2,7;102,66;погашение;1000;4,56;46,12;18,5;4;фиксированный;субфедеральные/муниципальные;1031,16;430,04;0,417044881
RU000A106UW3;iКарРус1P3;25,7; BB;6;59,4;1,8;86,25;погашение;1000;10,88;11,26;13,7;12;фиксированный;корпоративные;873,38;363,08;0,415718244
RU000A0ZZY59; РСХБ 11В1;10; AA;9;29,9;3,1;86,3;вероятность выкупа (call);1000;34,03;44,88;9;2;фиксированный;корпоративные;897,03;372,25;0,414980547
RU000A10B4L1;ДЕВАР 1Р1;21,7; B;3;41,1;2,4;118,15;погашение;1000;7,27;24,25;29,5;12;фиксированный;корпоративные;1188,77;490,23;0,412384229
RU000A102556;СЭЗ 1P2;24; BB-;5;38,8;1,9;82,91;погашение;1000;11,78;26,8;10,75;4;фиксированный;корпоративные;840,88;346,72;0,41232994
RU000A1089A3;АСпэйс 1Р1;26,4; B;3;40,2;1,9;94;погашение;1000;11,97;15,62;21;12;изменяемый;корпоративные;951,97;391,67;0,411431032
RU000A1031U3;ВЭБ1P-26;16,1; AA;9;33,8;2,5;85,21;погашение;1000;1,11;40,54;8,13;2;фиксированный;корпоративные;853,21;349,49;0,409617796
RU000A102TH5;СберИОС425;0; AA;9;13;2,4;70,9;погашение;1000;0,46;0,7;0,01;0;фиксированный;корпоративные;709,46;290,54;0,409522736
RU000A10CJ92;ПР-Лиз 2P3;25,8; BB-;5;54,3;1,8;95,39;право продать (put);1000;0,55;16,44;20;12;фиксированный;корпоративные;954,45;390,79;0,409439992
RU000A10AUE8;РЖД 1Р-36R;15,7; AA;9;49,4;3,1;113,08;погашение;1000;9,29;16,4;19,95;12;фиксированный;корпоративные;1140,09;466,71;0,409362419
RU000A108VL0;ГПБ005P12P;0; AA;9;33,2;2,3;98,23;погашение;1000;11,99;14,86;21,5;12;плавающий;корпоративные;994,29;406,93;0,409266914
RU000A104W33;ПочтаР2P03;18,1; A;8;37,9;2,6;85,29;право продать (put);1000;36,43;50,61;10,15;2;фиксированный;корпоративные;889,33;363,72;0,408982043
RU000A108B83;ОилРесур01;31,7; B+;4;49,7;1,4;88,09;погашение;1000;6,25;15,62;21;12;изменяемый;корпоративные;887,15;362,77;0,408916192
RU000A105WK6;ВымпелК1Р4;16,5; A;8;27,5;2,5;86,47;досрочное погашение;1000;1,7;22,06;8,85;4;фиксированный;корпоративные;866,4;354,2;0,408818098
RU000A10D3C0;РусГид2Р08;16; AA;9;45,3;2,9;101,15;погашение;1000;5,08;12,7;15,45;12;фиксированный;корпоративные;1016,58;415,22;0,408447933
